date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-01-02,163.1,164.9,163.1,164.2,13922,,164.2,,,,,,,,0.0,13922,,,,,0.0,,,,,,,,,
2024-01-03,163.4,168.8,164.2,168.2,260957,,164.58095238095237,,,,,,,,0.0,274879,,,,,0.0,,,,,,,,,
2024-01-04,168.5,174.1,168.6,173.9,637451,,165.46848072562358,,,,,,,,0.0,912330,,,,,0.0,,,,,,,,,
2024-01-05,174.2,174.5,170.5,172.4,287788,,166.12862541842134,,,,,,,,0.0,624542,,,,,0.0,,,,,,,,,
2024-01-06,171.7,173.2,172.2,173.1,9962,,166.79256585476216,,,,,,,,0.0,634504,,,,,0.0,,,,,,,,,
2024-01-07,171.8,173.1,171.8,172.5,6583,,167.33613101145147,,,,,,,,0.0,627921,,,,,0.0,,,,,,,,,
2024-01-08,172.7,172.6,171.0,171.4,155216,,167.723166153218,,,,,,,,0.0,472705,,,,,0.0,,,,,,,,,
2024-01-09,171.8,174.3,170.9,172.9,618252,,168.2161979481496,,,,,,,,0.0,1090957,,,,,0.0,,,,,,,,,
2024-01-10,172.9,174.7,172.2,172.9,299652,,168.66227433404012,,,,,,,,0.0,1390609,,,,,0.0,,,,,168.89999999999998,,,,
2024-01-11,172.9,177.5,172.2,175.6,941697,,169.3230101117506,,,,,,,,0.0,2332306,,,,,0.0,,,,,170.85,,175.6,,
2024-01-12,175.4,177.2,174.6,175.2,613402,,169.882723434441,,,,,,,,0.0,1718904,,,,,0.0,,,,,173.05,,175.52657111914294,6.699147381242387,
2024-01-13,175.5,176.4,174.6,176.1,10908,,170.4748450121133,,,,,,,,0.0,1729812,,,,,0.0,,,,,174.0,,175.60917761289548,4.696789536266353,
2024-01-14,175.3,176.6,175.3,176.0,4702,,171.00105024905488,,,,,,,,0.0,1725110,,,,,0.0,,,,,174.2,,175.62444113655067,1.2075905692926936,
2024-01-15,175.6,180.8,175.4,179.6,917761,,171.81999784438298,174.76476190476194,84.8806263106285,93.22033898305075,,,,,3.035714285714288,2642871,,,,,0.0,,,,-6.779661016949242,175.85000000000002,,176.38805050566359,4.176334106728532,
2024-01-16,179.9,181.4,176.5,178.7,727455,,172.47523614491794,175.50571428571428,79.37925964455647,84.30232558139527,,,,,3.168877551020411,1915416,,,,,0.0,1.2850877192982455,0.6293859649122807,,-15.697674418604734,176.15,,176.6717216683636,3.2351242056614637,
2024-01-17,179.2,185.1,177.7,185.0,1280238,,173.6680707977829,176.94857142857143,86.14746990446325,99.39393939393942,92.30553465279515,,,,3.471100583090382,3195654,,,,,0.0,1.2706611570247932,0.6549586776859507,,-0.6060606060605717,178.0,,178.70925629083357,7.246376811594203,
