date,open,high,low,close,volume,SMA_20,EMA_20,WMA,RSI_14,Stoch_%K,Stoch_%D,BB_upper,BB_mid,BB_lower,ATR_14,OBV,CMF_20,MACD,MACD_signal,MACD_diff,ADX_14,Vortex_14+,Vortex_14-,CCI_20,Williams_%R_14,Ichimoku_Conversion,Ichimoku_Base,KAMA_10,ROC_10,Ultimate_Osc
2024-01-02,1452.8,1477.8,1453.0,1472.4,5729,,1472.4,,,,,,,,0.0,5729,,,,,0.0,,,,,,,,,
2024-01-03,1466.2,1484.8,1466.2,1484.8,167611,,1473.5809523809523,,,,,,,,0.0,173340,,,,,0.0,,,,,,,,,
2024-01-04,1490.0,1496.8,1475.8,1479.6,263650,,1474.1541950113378,,,,,,,,0.0,-90310,,,,,0.0,,,,,,,,,
2024-01-05,1482.0,1488.2,1477.4,1480.4,223484,,1474.7490335816867,,,,,,,,0.0,133174,,,,,0.0,,,,,,,,,
2024-01-06,1486.4,1482.8,1474.0,1480.6,6498,,1475.306268478669,,,,,,,,0.0,139672,,,,,0.0,,,,,,,,,
2024-01-07,1473.6,1482.2,1475.8,1478.8,7859,,1475.6390048140338,,,,,,,,0.0,131813,,,,,0.0,,,,,,,,,
2024-01-08,1480.4,1492.4,1480.4,1487.2,448077,,1476.740051974602,,,,,,,,0.0,579890,,,,,0.0,,,,,,,,,
2024-01-09,1491.0,1495.8,1474.8,1489.0,797657,,1477.907666072259,,,,,,,,0.0,1377547,,,,,0.0,,,,,,,,,
2024-01-10,1489.0,1522.0,1489.0,1513.0,1348467,,1481.2497931129963,,,,,,,,0.0,2726014,,,,,0.0,,,,,1487.5,,,,
2024-01-11,1516.0,1519.4,1496.6,1505.4,1148631,,1483.5498128165204,,,,,,,,0.0,1577383,,,,,0.0,,,,,1494.1,,1505.4,,
2024-01-12,1508.0,1508.0,1498.2,1500.2,455474,,1485.1355449292328,,,,,,,,0.0,1121909,,,,,0.0,,,,,1498.0,,1504.8909488503464,1.8880738929638652,
2024-01-13,1506.2,1506.2,1497.4,1503.6,9189,,1486.894064459782,,,,,,,,0.0,1131098,,,,,0.0,,,,,1498.0,,1504.804778750571,1.2661637931034453,
2024-01-14,1494.4,1506.2,1495.0,1505.4,6176,,1488.6565345112313,,,,,,,,0.0,1137274,,,,,0.0,,,,,1498.0,,1504.8764402665233,1.7437145174371578,
2024-01-15,1504.0,1512.8,1487.6,1492.2,828409,,1488.9940074149235,1495.9809523809527,55.56905780495145,56.81159420289862,,,,,16.842857142857156,308865,,,,,0.0,,,,-43.18840579710138,1498.4,,1504.5103620055881,0.7970818697649252,
2024-01-16,1498.0,1498.0,1470.0,1474.8,908447,,1487.6421971849309,1493.8342857142857,42.21143900545313,15.412186379928166,,,,,17.63979591836736,-599582,,,,,0.0,1.064435146443514,0.9087866108786604,,-84.58781362007184,1496.0,,1504.1778054882766,-0.39173308118330097,
2024-01-17,1474.8,1484.4,1461.2,1475.2,895941,,1486.4572260244613,1491.7180952380952,42.55330545625241,23.026315789473703,31.750032124100162,,,,18.036953352769693,296359,,,,,0.0,0.9729064039408862,0.9950738916256147,,-76.9736842105263,1491.6,,1503.94009894885,-0.24344062753583373,
2024-01-18,1476.4,1484.2,1462.0,1466.0,923103,,1484.5089187840365,1488.4666666666667,37.114858121954654,7.894736842105194,15.444413003835686,,,,18.33431382757186,-626744,,,,,0.0,0.9370915032679736,1.0449346405228748,,-92.10526315789481,1491.6,,1502.1619672267339,-1.4254975793437363,
2024-01-19,1465.0,1467.0,1451.6,1457.0,693205,,1481.8890217569854,1484.144761904762,32.710629152933535,7.670454545454665,12.863835725677854,,,,18.124719982745308,-1319949,,,,,0.0,0.8901363271852436,1.0785886126704085,,-92.32954545454534,1485.5,,1498.7267675355608,-2.1490933512424446,
2024-01-20,1463.0,1462.8,1453.2,1456.6,6332,,1479.4805434944153,1479.9923809523807,32.52589233029515,7.102272727272718,7.555821371610858,,,,17.51581141254921,-1326281,,,,,0.0,0.9104716227018383,1.0735411670663462,,-92.89772727272728,1482.1999999999998,,1485.1881525473284,-3.7276933245208257,
2024-01-21,1450.930769230769,1447.0,1434.0,1437.4,267491,1481.98,1475.4728726854235,1473.5085714285717,25.176049176193786,3.863636363636467,6.212121212121283,1518.7710641324766,1481.98,1445.1889358675235,17.878967740224258,-1593772,-0.1622704504602745,,,,0.0,0.8475975975975981,1.09009009009009,-208.027005534189,-96.13636363636353,1473.4,,1469.028177391533,-4.517071874584828,
2024-01-22,1425.0,1451.8,1425.0,1444.6,2358435,1480.59,1472.5325990963354,1468.3790476190475,31.43322720370739,20.206185567010216,10.390698219306467,1520.67680082022,1480.59,1440.5031991797798,18.516184330208237,764663,-0.0373350753891936,,,,0.0,0.8118741058655226,1.1108726752503584,-178.83225153777502,-79.79381443298979,1468.9,,1463.4741104566701,-3.7061725103319647,
2024-01-23,1444.6,1447.4,1430.6,1431.0,764178,1477.9,1468.5771134681129,1461.8419047619047,26.863488386446576,6.185567010309279,10.08512964698532,1523.3565286840076,1477.9,1432.4434713159926,18.393599735193373,485,-0.10797237631850633,,,,0.0,0.8496732026143797,1.1408859840232386,-162.06226300863574,-93.81443298969072,1468.9,,1453.9058242966712,-4.828411811652029,
2024-01-24,1434.2,1448.8,1434.2,1447.6,1246097,1476.3,1466.5792931378164,1458.0704761904765,38.59740495920067,23.940677966101575,16.777476847807023,1523.6190870579726,1476.3,1428.9809129420273,18.35119975410813,1246582,-0.00937721073113822,,,,0.0,0.7878554957724836,1.232129131437356,-114.34121893463879,-76.05932203389843,1461.5,,1452.9356580347544,-3.8395110933971153,
2024-01-25,1450.0,1451.8,1432.2,1435.8,797474,1474.07,1463.6479318865959,1453.3485714285714,34.37543135910788,12.30068337129836,14.142309449236405,1524.5070141860122,1474.07,1423.6329858139877,18.440399771671828,449108,-0.03810550691391407,,,,0.0,0.7478599221789893,1.2132295719844366,-109.41315146922581,-87.69931662870164,1454.7,,1450.3483460191185,-3.779654201849624,
2024-01-26,1443.0,1443.0,1420.6,1423.6,913772,1471.22,1459.8338431354914,1447.662857142857,30.643311295841414,3.253796095444684,13.165052477614873,1526.10459164465,1471.22,1416.33540835535,18.723228359409557,-464664,-0.08112160908006573,,,,0.0,0.7106824925816025,1.1936201780415432,-123.00140586651479,-96.7462039045553,1452.4,,1446.6057866350113,-3.471657173854085,
